Country name,Region,Score 2016,Score 2017,Score 2018,Score 2019,Score 2020,Healthy life expectancy 2016,Healthy life expectancy 2017,Healthy life expectancy 2018,Healthy life expectancy 2019,Healthy life expectancy 2020,Freedom to make life choices 2016,Freedom to make life choices 2017,Freedom to make life choices 2018,Freedom to make life choices 2019,Freedom to make life choices 2020,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Generosity 2020,Perceptions of corruption 2016,Perceptions of corruption 2017,Perceptions of corruption 2018,Perceptions of corruption 2019,Perceptions of corruption 2020,name,Longitude,Latitude
Finland,Western Europe,7.412999999999999,7.468999862670901,7.632000000000001,7.769,7.808700085,0.81091,0.80915766954422,0.8740000000000001,0.986,0.961271405,0.57104,0.6179508566856379,0.6809999999999999,0.596,0.66231674,0.25492,0.24548277258873,0.20199999999999999,0.153,-0.059482019000000004,0.41003999999999996,0.38261154294014,0.39299999999999996,0.39299999999999996,0.19544458399999998,Finland,26.274665600000002,64.49884603
Denmark,Western Europe,7.526,7.52199983596802,7.555,7.6,7.645599842,0.79504,0.7925655245780941,0.868,0.996,0.979332566,0.5794100000000001,0.626006722450256,0.6829999999999999,0.5920000000000001,0.665039897,0.36171,0.3552804887294771,0.284,0.252,0.06620177599999999,0.44453000000000004,0.40077006816863997,0.408,0.41,0.168489456,Denmark,10.02800992,55.98125296
Switzerland,Western Europe,7.5089999999999995,7.49399995803833,7.487,7.48,7.559899807000001,0.86303,0.858131289482117,0.927,1.052,1.040533185,0.58557,0.620070576667786,0.66,0.5720000000000001,0.62895447,0.28083,0.29054927825927696,0.256,0.263,0.105911039,0.41203,0.36700728535652205,0.35700000000000004,0.34299999999999997,0.303728431,Switzerland,8.20867471,46.79785878
Iceland,Western Europe,7.501,7.50400018692017,7.495,7.494,7.504499912000001,0.8673299999999999,0.8335521221160892,0.914,1.026,1.000843406,0.56624,0.6271626353263849,0.677,0.591,0.661980748,0.47678000000000004,0.47554022073745705,0.353,0.354,0.246944219,0.14975,0.15352655947208402,0.138,0.11800000000000001,0.7117097379999999,Iceland,-18.57396167,64.99575386
Norway,Western Europe,7.497999999999999,7.537000179290769,7.593999999999999,7.553999999999999,7.487999916000001,0.79579,0.796666502952576,0.861,1.028,1.0080718990000002,0.59609,0.635422587394714,0.6859999999999999,0.603,0.670200884,0.37895,0.36201223731041,0.28600000000000003,0.271,0.13453263,0.35775999999999997,0.31596383452415505,0.34,0.341,0.26321819399999996,Norway,15.34834656,68.75015572
Netherlands,Western Europe,7.3389999999999995,7.3769998550415,7.441,7.4879999999999995,7.448900223,0.8123100000000001,0.8106961250305179,0.878,0.9990000000000001,0.9756753440000001,0.55211,0.5853844881057739,0.638,0.557,0.61362648,0.47416,0.47048982977867104,0.33299999999999996,0.322,0.20761244,0.29927,0.282661825418472,0.295,0.298,0.364717126,Netherlands,5.28144793,52.100789899999995
Sweden,Western Europe,7.291,7.28399991989136,7.314,7.343,7.353499889,0.83121,0.830875158309937,0.9129999999999999,1.0090000000000001,0.9864704609999999,0.58218,0.612924098968506,0.659,0.574,0.6502977010000001,0.38254,0.38539925217628496,0.285,0.267,0.111614622,0.40867,0.384398728609085,0.38299999999999995,0.373,0.250880182,Sweden,16.74558049,62.77966519
New Zealand,Australia and New Zealand,7.334,7.31400012969971,7.324,7.307,7.2996001239999995,0.83096,0.816759705543518,0.8759999999999999,1.026,1.008138299,0.5814699999999999,0.6140621304512021,0.669,0.585,0.646789908,0.49401000000000006,0.500005125999451,0.365,0.33,0.191598073,0.41903999999999997,0.38281670212745705,0.389,0.38,0.22113885,New Zealand,171.4849235,-41.81113557
Austria,Western Europe,7.119,7.00600004196167,7.138999999999999,7.246,7.294199944,0.80565,0.8153284192085269,0.8909999999999999,1.016,1.000933528,0.54355,0.567766189575195,0.617,0.532,0.6033688779999999,0.32865,0.316472321748734,0.242,0.244,0.085429221,0.21348000000000003,0.22106036543846105,0.22399999999999998,0.226,0.49995487899999996,Austria,14.1264761,47.58549439
Luxembourg,Western Europe,6.871,6.86299991607666,6.91,7.09,7.2375001910000005,0.8454200000000001,0.845089495182037,0.8959999999999999,1.012,0.986442685,0.5487,0.59662789106369,0.632,0.526,0.610137045,0.27571,0.283180981874466,0.196,0.19399999999999998,-0.004620588,0.35329,0.31883442401886,0.321,0.316,0.367084295,Luxembourg,6.07182201,49.76725361
